,ranking,name,position,age,nation,club,value,matches,goals,assist,yellowcard,redcard,subsin,subsout,league
181,182.0,Antonio Rüdiger,Centre-Back,29.0,Germany,Chelsea FC,€35.00m,42,3,4,8,0,0,0,Premier League
182,183.0,Koke,Central Midfield,30.0,Spain,Atlético de Madrid,€35.00m,33,1,2,6,0,2,11,LaLiga
183,184.0,Ilkay Gündogan,Central Midfield,31.0,Germany,Manchester City,€35.00m,34,7,7,2,0,8,8,Premier League
184,185.0,Cristiano Ronaldo,Centre-Forward,37.0,Portugal,Manchester United,€35.00m,35,19,3,7,0,4,9,Premier League
185,186.0,Nicolò Zaniolo,Right Winger,22.0,Italy,AS Roma,€33.00m,33,4,8,11,1,5,19,Serie A
186,187.0,Lisandro Martínez,Centre-Back,24.0,Argentina,Ajax Amsterdam,€32.00m,36,1,4,5,0,1,10,Eredivisie
187,188.0,Edouard Mendy,Goalkeeper,30.0,Senegal,Chelsea FC,€32.00m,40,0,0,3,0,0,2,Premier League
188,189.0,Harvey Barnes,Left Midfield,24.0,England,Leicester City,€32.00m,34,8,9,2,0,4,15,Premier League
189,190.0,Callum Hudson-Odoi,Right Winger,21.0,England,Chelsea FC,€32.00m,28,3,6,2,0,6,16,Premier League
190,191.0,Leon Bailey,Left Winger,24.0,Jamaica,Aston Villa,€32.00m,14,1,2,2,0,10,4,Premier League
191,192.0,Kieran Tierney,Left-Back,24.0,Scotland,Arsenal FC,€32.00m,26,2,3,0,0,1,4,Premier League
192,193.0,Allan Saint-Maximin,Left Winger,25.0,France,Newcastle United,€32.00m,28,5,3,4,0,5,6,Premier League
193,194.0,Tyrone Mings,Centre-Back,29.0,England,Aston Villa,€32.00m,28,1,3,9,0,1,0,Premier League
194,195.0,Ivan Toney,Centre-Forward,26.0,England,Brentford FC,€32.00m,29,13,3,6,0,3,0,Premier League
195,196.0,James Ward-Prowse,Central Midfield,27.0,England,Southampton FC,€32.00m,33,7,7,3,1,1,2,Premier League
196,197.0,Kurt Zouma,Centre-Back,27.0,France,West Ham United,€32.00m,24,1,0,2,0,0,2,Premier League
197,198.0,Luis Alberto,Central Midfield,29.0,Spain,SS Lazio,€32.00m,37,4,8,7,0,9,15,Serie A
198,199.0,Emiliano Martínez,Goalkeeper,29.0,Argentina,Aston Villa,€32.00m,29,0,0,4,0,0,0,Premier League
199,200.0,Matheus Nunes,Central Midfield,23.0,Portugal,Sporting CP,€30.00m,45,4,5,8,0,7,17,Liga Portugal
200,201.0,Bruno Guimarães,Defensive Midfield,24.0,Brazil,Newcastle United,€30.00m,34,1,6,3,0,9,10,Premier League
201,202.0,Matheus Cunha,Centre-Forward,22.0,Brazil,Atlético de Madrid,€30.00m,28,8,4,4,0,20,8,LaLiga
202,203.0,Bremer,Centre-Back,25.0,Brazil,Torino FC,€30.00m,27,3,1,6,0,0,3,Serie A
203,204.0,Josko Gvardiol,Centre-Back,20.0,Croatia,RB Leipzig,€30.00m,37,2,3,5,0,5,6,Bundesliga
204,205.0,Curtis Jones,Central Midfield,21.0,England,Liverpool FC,€30.00m,24,1,4,1,0,9,9,Premier League
205,206.0,Dejan Kulusevski,Right Winger,21.0,Sweden,Tottenham Hotspur,€30.00m,39,4,7,3,0,23,10,Premier League
206,207.0,Jurrien Timber,Centre-Back,20.0,Netherlands,Ajax Amsterdam,€30.00m,36,3,1,3,0,3,8,Eredivisie
207,208.0,Houssem Aouar,Central Midfield,23.0,France,Olympique Lyon,€30.00m,34,5,3,1,0,8,9,Ligue 1
208,209.0,Sven Botman,Centre-Back,22.0,Netherlands,LOSC Lille,€30.00m,31,4,1,3,0,0,2,Ligue 1
209,210.0,Ibrahima Konaté,Centre-Back,22.0,France,Liverpool FC,€30.00m,19,0,1,4,0,3,0,Premier League
210,211.0,André Zambo Anguissa,Defensive Midfield,26.0,Cameroon,SSC Napoli,€30.00m,32,0,1,7,0,7,7,Serie A
211,212.0,Benjamin Pavard,Right-Back,26.0,France,Bayern Munich,€30.00m,28,0,2,1,1,2,5,Bundesliga
212,213.0,Ismaël Bennacer,Defensive Midfield,24.0,Algeria,AC Milan,€30.00m,36,2,1,6,0,16,12,Serie A
213,214.0,Robin Le Normand,Centre-Back,25.0,France,Real Sociedad,€30.00m,40,1,2,3,0,0,3,LaLiga
214,215.0,Nicolas Pépé,Right Winger,26.0,Cote d'Ivoire,Arsenal FC,€30.00m,23,6,6,0,0,11,2,Premier League
