,ranking,name,position,age,nation,club,value,matches,goals,assist,yellowcard,redcard,subsin,subsout
123,124,Darwin Núñez,Centre-Forward,22,Uruguay,SL Benfica,€40.00m,33,26,2,7,0,8,19
124,125,Luis Díaz,Left Winger,25,Colombia,Liverpool FC,€40.00m,40,18,6,3,0,7,23
125,126,Ronald Araújo,Centre-Back,23,Uruguay,FC Barcelona,€40.00m,33,4,0,5,0,7,4
126,127,Wesley Fofana,Centre-Back,21,France,Leicester City,€40.00m,1,1,0,0,0,0,1
127,128,Aurélien Tchouameni,Defensive Midfield,22,France,AS Monaco,€40.00m,43,4,2,9,0,2,6
128,129,Rodrygo,Right Winger,21,Brazil,Real Madrid,€40.00m,36,2,7,5,0,19,16
129,130,Raphinha,Right Winger,25,Brazil,Leeds United,€40.00m,28,9,3,6,0,2,5
130,131,Sandro Tonali,Defensive Midfield,21,Italy,AC Milan,€40.00m,41,2,8,9,0,8,15
131,132,Kalvin Phillips,Defensive Midfield,26,England,Leeds United,€40.00m,15,1,1,2,0,0,2
132,133,Alexander Isak,Centre-Forward,22,Sweden,Real Sociedad,€40.00m,34,8,4,3,0,7,24
133,134,Ben White,Centre-Back,24,England,Arsenal FC,€40.00m,32,0,0,1,0,0,2
134,135,Marco Asensio,Right Winger,26,Spain,Real Madrid,€40.00m,34,10,1,2,0,15,15
135,136,Presnel Kimpembe,Centre-Back,26,France,Paris Saint-Germain,€40.00m,34,2,1,8,0,1,5
136,137,Rodrigo de Paul,Central Midfield,27,Argentina,Atlético de Madrid,€40.00m,37,2,2,7,0,11,14
137,138,Patrik Schick,Centre-Forward,26,Czech Republic,Bayer 04 Leverkusen,€40.00m,24,20,3,0,0,3,17
138,139,Thomas Partey,Defensive Midfield,28,Ghana,Arsenal FC,€40.00m,29,2,3,6,0,2,7
139,140,Rúben Neves,Defensive Midfield,25,Portugal,Wolverhampton Wanderers,€40.00m,32,4,2,11,0,2,4
140,141,Gonçalo Guedes,Left Winger,25,Portugal,Valencia CF,€40.00m,35,13,6,2,0,4,18
141,142,José Gayà,Left-Back,26,Spain,Valencia CF,€40.00m,23,2,4,6,0,1,7
142,143,Paulo Dybala,Second Striker,28,Argentina,Juventus FC,€40.00m,29,13,6,3,0,6,13
143,144,Thomas Lemar,Attacking Midfield,26,France,Atlético de Madrid,€40.00m,29,4,6,2,0,8,16
144,145,Gerard Moreno,Centre-Forward,29,Spain,Villarreal CF,€40.00m,21,12,4,3,0,5,5
145,146,Riyad Mahrez,Right Winger,31,Algeria,Manchester City,€40.00m,39,22,7,0,0,12,7
146,147,Pierre-Emile Höjbjerg,Central Midfield,26,Denmark,Tottenham Hotspur,€40.00m,40,3,4,2,0,5,4
147,148,Marcelo Brozovic,Defensive Midfield,29,Croatia,Inter Milan,€40.00m,37,1,2,6,0,0,14
148,149,Wilfried Zaha,Left Winger,29,Cote d'Ivoire,Crystal Palace,€40.00m,32,10,3,4,0,4,3
149,150,Yannick Carrasco,Left Winger,28,Belgium,Atlético de Madrid,€40.00m,34,3,6,5,1,4,14
150,151,Aaron Wan-Bissaka,Right-Back,24,England,Manchester United,€38.00m,24,0,0,2,1,1,1
151,152,Emile Smith Rowe,Attacking Midfield,21,England,Arsenal FC,€38.00m,30,11,2,0,0,9,11
152,153,Ben Chilwell,Left-Back,25,England,Chelsea FC,€38.00m,12,3,1,0,0,3,2
153,154,André Silva,Centre-Forward,26,Portugal,RB Leipzig,€38.00m,41,17,8,2,0,10,19
154,155,Roberto Firmino,Centre-Forward,30,Brazil,Liverpool FC,€38.00m,26,9,4,3,0,12,8
155,156,Antony,Right Winger,22,Brazil,Ajax Amsterdam,€35.00m,34,12,11,4,0,2,17
156,157,Karim Adeyemi,Centre-Forward,20,Germany,Red Bull Salzburg,€35.00m,36,19,4,5,0,4,28
157,158,Pedro Neto,Left Winger,22,Portugal,Wolverhampton Wanderers,€35.00m,5,0,0,0,0,4,1
158,159,Ryan Gravenberch,Central Midfield,19,Netherlands,Ajax Amsterdam,€35.00m,38,2,6,5,0,5,12
159,160,Tanguy Ndombélé,Central Midfield,25,France,Olympique Lyon,€35.00m,23,2,2,3,0,7,10
160,161,Douglas Luiz,Defensive Midfield,23,Brazil,Aston Villa,€35.00m,26,1,3,6,0,1,8
161,162,Lucas Paquetá,Attacking Midfield,24,Brazil,Olympique Lyon,€35.00m,34,9,5,4,0,6,11
162,163,Youssef En-Nesyri,Centre-Forward,24,Morocco,Sevilla FC,€35.00m,25,4,3,1,0,10,12
163,164,Pedro Gonçalves,Right Winger,23,Portugal,Sporting CP,€35.00m,33,14,10,5,0,6,19
164,165,Cristian Romero,Centre-Back,23,Argentina,Tottenham Hotspur,€35.00m,24,1,0,10,0,1,3
165,166,Ollie Watkins,Centre-Forward,26,England,Aston Villa,€35.00m,28,7,1,6,0,3,3
166,167,Emiliano Buendía,Right Winger,25,Argentina,Aston Villa,€35.00m,28,2,4,1,0,7,16
167,168,Hirving Lozano,Right Winger,26,Mexico,SSC Napoli,€35.00m,31,5,4,1,1,10,19
168,169,Scott McTominay,Defensive Midfield,25,Scotland,Manchester United,€35.00m,32,2,1,9,0,2,10
169,170,Jarrod Bowen,Right Winger,25,England,West Ham United,€35.00m,39,12,11,4,0,5,13
170,171,Robin Gosens,Left Midfield,27,Germany,Inter Milan,€35.00m,12,2,2,3,0,5,4
171,172,Manuel Locatelli,Defensive Midfield,24,Italy,Juventus FC,€35.00m,39,3,5,6,0,9,12
172,173,Hakim Ziyech,Attacking Midfield,29,Morocco,Chelsea FC,€35.00m,32,8,5,4,0,8,16
173,174,Nabil Fekir,Attacking Midfield,28,France,Real Betis Balompié,€35.00m,38,10,8,10,2,1,18
174,175,Andreas Christensen,Centre-Back,25,Denmark,Chelsea FC,€35.00m,29,2,1,2,0,3,7
175,176,Domenico Berardi,Right Winger,27,Italy,US Sassuolo,€35.00m,29,14,14,8,0,0,15
176,177,Raphaël Guerreiro,Left-Back,28,Portugal,Borussia Dortmund,€35.00m,24,5,3,1,0,4,10
177,178,Niklas Süle,Centre-Back,26,Germany,Bayern Munich,€35.00m,33,1,2,3,0,7,7
178,179,Saúl Ñíguez,Central Midfield,27,Spain,Chelsea FC,€35.00m,23,1,1,3,0,10,5
179,180,Hakan Calhanoglu,Central Midfield,28,Turkey,Inter Milan,€35.00m,37,6,9,8,0,4,25
180,181,Stefan de Vrij,Centre-Back,30,Netherlands,Inter Milan,€35.00m,31,1,0,3,0,2,6
181,182,Antonio Rüdiger,Centre-Back,29,Germany,Chelsea FC,€35.00m,42,3,4,8,0,0,0
182,183,Koke,Central Midfield,30,Spain,Atlético de Madrid,€35.00m,33,1,2,6,0,2,11
183,184,Ilkay Gündogan,Central Midfield,31,Germany,Manchester City,€35.00m,34,7,7,2,0,8,8
184,185,Cristiano Ronaldo,Centre-Forward,37,Portugal,Manchester United,€35.00m,35,19,3,7,0,4,9
185,186,Nicolò Zaniolo,Right Winger,22,Italy,AS Roma,€33.00m,33,4,8,11,1,5,19
186,187,Lisandro Martínez,Centre-Back,24,Argentina,Ajax Amsterdam,€32.00m,36,1,4,5,0,1,10
187,188,Edouard Mendy,Goalkeeper,30,Senegal,Chelsea FC,€32.00m,40,0,0,3,0,0,2
188,189,Harvey Barnes,Left Midfield,24,England,Leicester City,€32.00m,34,8,9,2,0,4,15
189,190,Callum Hudson-Odoi,Right Winger,21,England,Chelsea FC,€32.00m,28,3,6,2,0,6,16
190,191,Leon Bailey,Left Winger,24,Jamaica,Aston Villa,€32.00m,14,1,2,2,0,10,4
191,192,Kieran Tierney,Left-Back,24,Scotland,Arsenal FC,€32.00m,26,2,3,0,0,1,4
192,193,Allan Saint-Maximin,Left Winger,25,France,Newcastle United,€32.00m,28,5,3,4,0,5,6
193,194,Tyrone Mings,Centre-Back,29,England,Aston Villa,€32.00m,28,1,3,9,0,1,0
194,195,Ivan Toney,Centre-Forward,26,England,Brentford FC,€32.00m,29,13,3,6,0,3,0
195,196,James Ward-Prowse,Central Midfield,27,England,Southampton FC,€32.00m,33,7,7,3,1,1,2
196,197,Kurt Zouma,Centre-Back,27,France,West Ham United,€32.00m,24,1,0,2,0,0,2
197,198,Luis Alberto,Central Midfield,29,Spain,SS Lazio,€32.00m,37,4,8,7,0,9,15
198,199,Emiliano Martínez,Goalkeeper,29,Argentina,Aston Villa,€32.00m,29,0,0,4,0,0,0
199,200,Matheus Nunes,Central Midfield,23,Portugal,Sporting CP,€30.00m,45,4,5,8,0,7,17
200,201,Bruno Guimarães,Defensive Midfield,24,Brazil,Newcastle United,€30.00m,34,1,6,3,0,9,10
201,202,Matheus Cunha,Centre-Forward,22,Brazil,Atlético de Madrid,€30.00m,28,8,4,4,0,20,8
202,203,Bremer,Centre-Back,25,Brazil,Torino FC,€30.00m,27,3,1,6,0,0,3
203,204,Josko Gvardiol,Centre-Back,20,Croatia,RB Leipzig,€30.00m,37,2,3,5,0,5,6
204,205,Curtis Jones,Central Midfield,21,England,Liverpool FC,€30.00m,24,1,4,1,0,9,9
205,206,Dejan Kulusevski,Right Winger,21,Sweden,Tottenham Hotspur,€30.00m,39,4,7,3,0,23,10
206,207,Jurrien Timber,Centre-Back,20,Netherlands,Ajax Amsterdam,€30.00m,36,3,1,3,0,3,8
207,208,Houssem Aouar,Central Midfield,23,France,Olympique Lyon,€30.00m,34,5,3,1,0,8,9
208,209,Sven Botman,Centre-Back,22,Netherlands,LOSC Lille,€30.00m,31,4,1,3,0,0,2
209,210,Ibrahima Konaté,Centre-Back,22,France,Liverpool FC,€30.00m,19,0,1,4,0,3,0
210,211,André Zambo Anguissa,Defensive Midfield,26,Cameroon,SSC Napoli,€30.00m,32,0,1,7,0,7,7
211,212,Benjamin Pavard,Right-Back,26,France,Bayern Munich,€30.00m,28,0,2,1,1,2,5
212,213,Ismaël Bennacer,Defensive Midfield,24,Algeria,AC Milan,€30.00m,36,2,1,6,0,16,12
213,214,Robin Le Normand,Centre-Back,25,France,Real Sociedad,€30.00m,40,1,2,3,0,0,3
214,215,Nicolas Pépé,Right Winger,26,Cote d'Ivoire,Arsenal FC,€30.00m,23,6,6,0,0,11,2
